prefix,count,total_effective_usd,sample_sku
501,240,716122.570765,50101297008FRE
R21,129,39756.794873,R210611004
EDA,120,2309116.839752,EDA400BC33QGRK
R210,118,37444.384617,R210611004
R2106,91,25448.205128,R210611004
TC8,82,236065.283637,TC808B3102
EDA5,80,2038838.491287,EDA50
R21065,80,23517.705127,R2106500X0
5013,77,99378.423082,50130720001FRE
5014,72,469886.754014,50140040001FRE
FX8,72,371371.960372,FX808313
FX80,72,371371.960372,FX808313
FX808,72,371371.960372,FX808313
101,55,259073.897433,1010550RU
TC80,55,162253.629790,TC808B3102
FX8083,53,315415.024474,FX808313
900,52,335138.025640,90008649R
EDA51,52,1185848.988223,EDA51
P22,47,13466.255032,P2210F
P221,47,13466.255032,P2210F
CN8,43,101163.361111,CN80
CN80,43,101163.361111,CN80
5012,38,105309.483415,50120013001FRE
