prefix,reason,count,total_effective_usd,brand_dist_top3,sample_sku
EDA,"RATIO_REVIEW_030_080(long=EDA5,r=0.6667)",120,2309116.839752,unknown:113|honeywell:7,EDA400BC33QGRK
EDA5,"RATIO_REVIEW_030_080(long=EDA51,r=0.6500)",80,2038838.491287,unknown:73|honeywell:7,EDA50
501,NUMERIC_HAZARD_LEN_LE_4,240,716122.570765,unknown:240,50101297008FRE
5014,NUMERIC_HAZARD_LEN_LE_4,72,469886.754014,unknown:72,50140040001FRE
FX8,"RATIO_DROP_GT_080(long=FX80,r=1.0000)",72,371371.960372,unknown:72,FX808313
FX80,"RATIO_DROP_GT_080(long=FX808,r=1.0000)",72,371371.960372,unknown:72,FX808313
FX808,"RATIO_REVIEW_030_080(long=FX8083,r=0.7361)",72,371371.960372,unknown:72,FX808313
900,NUMERIC_HAZARD_LEN_LE_4,52,335138.025640,unknown:52,90008649R
101,NUMERIC_HAZARD_LEN_LE_4,55,259073.897433,unknown:53|honeywell:2,1010550RU
TC8,MIXED_BRAND(top_share=0.7195),82,236065.283637,unknown:59|honeywell:23,TC808B3102
TC80,MIXED_BRAND(top_share=0.6000),55,162253.629790,unknown:33|honeywell:22,TC808B3102
5012,NUMERIC_HAZARD_LEN_LE_4,38,105309.483415,unknown:38,50120013001FRE
CN8,"RATIO_DROP_GT_080(long=CN80,r=1.0000)",43,101163.361111,unknown:43,CN80
5013,NUMERIC_HAZARD_LEN_LE_4,77,99378.423082,unknown:77,50130720001FRE
R21,"RATIO_DROP_GT_080(long=R210,r=0.9147)",129,39756.794873,unknown:129,R210611004
R210,"RATIO_REVIEW_030_080(long=R2106,r=0.7712)",118,37444.384617,unknown:118,R210611004
R2106,"RATIO_DROP_GT_080(long=R21065,r=0.8791)",91,25448.205128,unknown:91,R210611004
P22,"RATIO_DROP_GT_080(long=P221,r=1.0000)",47,13466.255032,unknown:47,P2210F
