pn,brand,total_usd_pn,max_line_usd,lines_count,sample_raw_text,top5_line_usd_values
WDU4ZR,unknown,58249511.542080,58249511.542080,1,"Маркировка клеммы Wdu4/Zr, мод./арт. 1609900000, кол. 6000",58249511.542080
SF12IV2,unknown,27439799.775258,27439799.775258,1,"Маркировка кабеля Sf1/2I-V2, мод./арт. 1918630000, кол. 2800",27439799.775258
WDU4,unknown,10553306.728745,10553306.728745,1,"Клемма WDU4 BL, модель/артикул 1020180000, кол-во 100",10553306.728745
WSI6,unknown,5833752.990054,4773070.628226,3,"Клемма с предохранителем Wsi6, мод./арт. 1011000000, кол. 900",4773070.628226
FTAC30016DIFSLIMG3S,unknown,2351864.594755,1501793.054482,2,"FTA-C300-16DI-F-SLIM-G3-S, модель/артикул 7508001858, кол-во 53",1501793.054482
1470G2DR2USBR,unknown,1838642.532433,79940.979671,23,"Счетчик штриховых кодов 1470G, модель/артикул 1470G2DR-2USB-R, кол-во 424",79940.979671
1990IXR3SERR,unknown,1670644.686610,1670644.686610,1,"Сканер штрих-кода, модель/артикул 1990ixr-3ser-r, кол-во 9",1670644.686610
1470G,unknown,1069783.056271,726562.682331,3,"Этикетка, предназначена для маркировки готовой продукции — сканеров Voyager 1470G, модель/артикул 50152077-011, кол-во 46576",726562.682331
EDA50K0C121NGRR,unknown,817581.551281,111067.682438,8,"TCД KIT, EDA50K, WLAN, BT4.0,2/16, N, GMS, ROW, RU, модель/артикул EDA50K-0-C121NGRR, кол-во 288",111067.682438
645X150,unknown,651947.218601,651947.218601,1,"Кушак синий 645x150, модель/артикул 90007833, кол-во 900",651947.218601
ATR03COLUMN340COMPLETE,unknown,521960.359195,467589.488445,3,"ATR-03-COLUMN-340-COMPLETE, модель/артикул 65875747, кол-во 129",467589.488445
470G1472G,unknown,502104.142012,502104.142012,1,"Элемент корпуса сканера 470g/1472g, модель/артикул 50159783-001, кол-во 2400",502104.142012
1472G2D2USB5R,unknown,477032.402551,441352.417696,2,"Сканер штрих-кода EMEA KIT,1472G2D SCN USB, CCB, BLK,CRDLESS, модель/артикул 1472G2D-2USB-5-R, кол-во 267",441352.417696
CBL500150S00,honeywell,463988.038463,48618.589744,15,"Кабель Honeywell, Cable, Usb Type A, 1.5 Meters, For 1400G, модель/артикул CBL-500-150-S00, кол-во 3500",48618.589744
2020BGGMNM,unknown,463922.769231,463922.769231,1,"Смарт карта бесконтактная access card HID, модель/артикул 2020BGGMNM-, кол-во 450",463922.769231
I22605,unknown,454838.615385,454838.615385,1,"PB-LBL-050-B-76/190-4, модель/артикул I22605, кол-во 2880",454838.615385
M200EEOLR,unknown,412200.845212,412200.845212,1,"Устройство оконечное M200E-EOL-R, модель/артикул Р87-0473-100, кол-во 11530",412200.845212
CCPAIL51,unknown,392264.269231,256480.483728,5,"Модуль аналогового ввода низкого уровня, мод./арт. CC-PAIL51",256480.483728
EDA51,unknown,391988.350496,46460.631800,21,"Кнопка сканирования EDA51, серая, модель/артикул 50141268-001, кол-во 1000",46460.631800
PDP04,unknown,386355.846153,128785.282051,3,"Шкаф распределения питания в сборе, модель/артикул PDP04, кол-во 1",128785.282051
50147862003R,unknown,364571.792472,60761.965412,6,"Основная печатная плата сканера штрих кодов серии 1470, модель/артикул 50147862-003-R, кол-во 6",60761.965412
