ranking,rank,pn,total_effective_usd,lot_count,line_count
top_usd,1,WDU4ZR,45434619.002822,1,1
top_usd,2,SF12IV2,21403043.824701,1,1
top_usd,3,WDU4,8231579.248421,1,1
top_usd,4,WSI6,4550327.332242,1,3
top_usd,5,FTAC30016DIFSLIMG3S,1834454.383909,1,2
top_usd,6,1470G2DR2USBR,1434141.175299,1,23
top_usd,7,1990IXR3SERR,1303102.855556,1,1
top_usd,8,1470G,834430.783891,3,3
top_usd,9,EDA50K0C121NGRR,637713.610000,1,8
top_usd,10,645X150,508518.830508,1,1
top_usd,11,ATR03COLUMN340COMPLETE,407129.080172,3,3
top_usd,12,470G1472G,391641.230769,1,1
top_usd,13,1472G2D2USB5R,372085.273990,1,2
top_usd,14,CBL500150S00,361910.670000,5,15
top_usd,15,2020BGGMNM,361859.760000,1,1
top_usd,16,I22605,354774.120000,1,1
top_usd,17,M200EEOLR,321516.659266,1,1
top_usd,18,CCPAIL51,305966.130000,3,5
top_usd,19,EDA51,305750.913387,7,21
top_usd,20,PDP04,301357.560000,2,3
top_freq,1,PW5K1ENC3E,63812.530000,9,13
top_freq,2,P2213T,5413.730921,9,18
top_freq,3,EDA51,305750.913387,7,21
top_freq,4,EDA61KHB2,90442.180000,7,10
top_freq,5,100PRS,25647.857997,7,16
top_freq,6,P2212HB,686.154000,7,9
top_freq,7,FX808324,52381.219091,6,19
top_freq,8,TC809E1043,47228.720000,6,16
top_freq,9,1013431RU,37827.120000,6,13
top_freq,10,CBL500150S00,361910.670000,5,15
top_freq,11,50147862003R,284365.998129,5,6
top_freq,12,CCPUIO31,167886.130000,5,6
top_freq,13,XS823,46246.083710,5,11
top_freq,14,1011894RU,35181.900000,5,12
top_freq,15,FCRUSIO3224,33377.890000,5,5
top_freq,16,6500MMK,29726.307388,5,8
top_freq,17,LSC506,24048.330000,5,8
top_freq,18,WB1APIV,21440.670000,5,6
top_freq,19,XS82122,20551.370000,5,14
top_freq,20,XF823A,19279.070000,5,8
